state,x,y,car_heading,car_velocity,lateral_acc,longitudinal_acc,packet_rate,rtt,speed,car_distance
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-0.01748695556891406,0.012396391632419628,0,0,0,0
0,2037.0075431056732,-1500.8342954179514,-261.8822508643491,4.864145278930664,-0.027954122622228305,0.018016855048169966,0,0,0,0
0,2034.4248573179564,-1495.7630592468756,-228.22880289998398,6.671133041381836,-0.014538577540880669,0.016138861464527265,0,0,0,0
0,2029.045093065149,-1490.737472757921,-218.89205173511266,8.040422439575195,-0.0031513506409823425,0.00670614885837983,20.0,3849.0,0.012202136218547821,2518.59814453125
0,2022.1150500519827,-1485.5749919487157,-215.35761910872026,9.264824867248535,-0.0009976705179777362,0.01117154571629285,20.0,171.0,0.012106271460652351,2512.76025390625
0,2014.016168864582,-1479.928707174565,-213.2631495765895,10.464982032775879,-0.005099721653163293,0.011489048268161745,100.0,305.0,0.012126735411584377,37.34519958496094
0,2004.5894293513122,-1474.094328731143,-210.25411393454266,11.648153305053711,-0.002863555784807817,0.00907741852513207,100.0,429.0,0.012161098420619965,39.62627029418945
0,1994.1025113802452,-1468.0059009288145,-210.14064622127478,12.464521408081055,0.0037801956780799595,0.004936173707728839,100.0,291.0,0.01218411885201931,37.443031311035156
0,1983.2913060447258,-1461.5052086110195,-212.23726288163851,12.656105995178223,0.006715187712412902,0.001315959603775722,100.0,385.0,0.012303533963859081,40.24830627441406
0,1972.7312681202425,-1454.4579545565896,-215.90962943448795,12.683279037475586,0.006491469058528827,-0.0033795049984675575,100.0,262.0,0.012110325507819653,38.3312873840332
0,1962.5137847679116,-1446.822624996037,-217.11329668869433,12.81794261932373,0.0019356926734226186,-0.0025550701663470446,100.0,171.0,0.012117168866097927,36.641212463378906
0,1952.2569141684462,-1438.9367183504248,-217.8124437013651,13.026653289794922,-0.0020137459040839144,-0.0007795539440406426,100.0,271.0,0.012162902392446995,33.9688835144043
0,1941.8697776930112,-1430.902228976072,-217.86336597826102,13.201507568359375,0.00034273785681989766,0.0008161189595163958,100.0,212.0,0.012121874839067459,34.76858901977539
0,1931.4615676911424,-1422.8346539837485,-217.73746974383903,13.06625747680664,-0.003469531757910139,-0.0014452685747757682,100.0,226.0,0.01211733277887106,33.41951370239258
0,1921.2157254360734,-1414.9591281975572,-217.75013923161248,12.777466773986816,0.0033472449123067797,-0.004800941156495714,100.0,452.0,0.01230305340141058,27.7833251953125
0,1911.257340554975,-1407.238801320888,-217.943490322199,12.353751182556152,-0.003649741547956151,-0.008487465130118912,100.0,210.0,0.012299127876758575,28.34518051147461
0,1901.9570133761958,-1399.9751906362621,-217.98849308482608,11.394891738891602,0.0003411847355154256,-0.004450373130353451,100.0,372.0,0.01217179000377655,25.790849685668945
0,1893.0652951931945,-1393.0925451844064,-217.92892530990935,11.076308250427246,-0.0013193010554808577,-0.0024722822692091247,100.0,233.0,0.012144722044467926,26.539297103881836
0,1884.4269520243408,-1386.3906593047627,-218.10054215667424,10.77971076965332,0.00012870892951119496,-0.0042644742285447125,100.0,898.0,0.012262768112123013,23.87833595275879
0,1875.8985426151228,-1379.73840876795,-218.17363388613438,10.855878829956055,4.7185827179699455e-05,0.0027007563736824464,100.0,200.0,0.011804232373833656,25.394733428955078
0,1867.2336714291603,-1372.99457268737,-218.1572732488749,11.101468086242676,-0.0012806806675695606,0.0028119221818675853,100.0,454.0,0.012004494667053223,25.478500366210938
0,1858.3192530629835,-1366.1338078336953,-217.76132625415727,11.412674903869629,0.004077541332691995,0.003953246353066423,100.0,414.0,0.012075196951627731,28.39406394958496
0,1849.1289920060212,-1359.10358687316,-217.65689089253448,11.749011993408203,0.0009818964066845954,0.0037322202825667,100.0,445.0,0.012143746949732304,28.952136993408203
0,1839.6926053101945,-1351.876484292973,-217.86897103451463,12.066226959228516,-0.0008570718273271348,-0.002369197095445685,100.0,384.0,0.012160373851656914,33.00504684448242
0,1829.976967494019,-1344.390515728028,-217.95422854189326,12.441621780395508,0.00023749266687374737,0.0005061398318676463,100.0,211.0,0.012224889360368252,33.026241302490234
0,1820.0785828173618,-1336.7142070600066,-218.0787538618643,12.509109497070312,-0.008599821354839957,-0.0019076940909238602,100.0,196.0,0.012117711827158928,35.76222229003906
0,1810.2241216778534,-1329.0479451735455,-218.2072776123182,12.498185157775879,-0.00014761235394707871,0.001561991448970984,100.0,398.0,0.011972290463745594,34.79974365234375
0,1800.3436783955215,-1321.3396764636884,-218.2555010123728,12.521461486816406,-0.0008429901543102734,-0.007546230234095951,100.0,259.0,0.01200962159782648,32.093101501464844
0,1790.5317904204483,-1313.715706763928,-217.9449726658895,12.29565715789795,-0.001896481907116052,-0.00193610790606783,100.0,227.0,0.012055779807269573,32.93074035644531
0,1781.0176462346062,-1306.3675937565633,-218.14670426512646,11.659926414489746,4.964284591680711e-05,-0.005981714179286967,100.0,330.0,0.012994765304028988,31.324216842651367
0,1772.2867861202976,-1299.555476975193,-218.32079750830115,10.499113082885742,0.00035729659966473156,-0.007696602327741192,100.0,231.0,0.01201288029551506,26.526105880737305
0,1764.245773248403,-1293.2471663082845,-218.18484323442192,10.046989440917969,9.41152617195155e-05,-0.0006467430683732599,100.0,443.0,0.012071491219103336,22.727527618408203
0,1756.4668294359456,-1287.2200081492288,-218.05242590503434,9.550389289855957,2.3695777805244483e-05,-0.007665042660496889,100.0,131.0,0.012957513332366943,21.706310272216797
