state,x,y,car_heading,car_velocity,lateral_acc,longitudinal_acc,packet_rate,rtt,speed,car_distance
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-8.176365672633523e-05,-2.527624138787866e-05,0.0,404.0,0.013903017155826092,0.0
0,0,0,0,0,1.2726499375501894e-05,1.8565340211462676e-05,100.0,200.0,0.013640204444527626,0.0
0,752.6641604955561,-625.7524251496732,27.018029342044848,0.0008938299724832177,5.437378547433704e-07,4.863334236556588e-06,100.0,158.0,0.01372070237994194,978.8102416992188
0,752.6634758392229,-625.752088937413,27.014754617069194,-0.0006924134213477373,3.12790791795811e-05,2.0679318811087993e-06,100.0,135.0,0.013710669241845608,978.8097534179688
0,752.6622463110967,-625.7510603721885,27.01504196041516,-0.001257039955817163,-6.876657743141884e-05,-3.7399643083831e-05,100.0,141.0,0.013691885396838188,978.8082885742188
0,752.6618480323459,-625.7500909270456,27.013703099278835,-0.00020109314937144518,2.9771418258513544e-05,2.351816313528174e-06,100.0,367.0,0.013683711178600788,978.8067016601562
0,752.6622491700934,-625.7505214823814,27.01455423128442,0.0005700172623619437,-2.1082362840558186e-05,-2.78669370921673e-05,100.0,360.0,0.013695509172976017,978.807373046875
0,752.6625391650873,-625.751537310743,27.01598606098105,-0.0002408091095276177,-8.657065906465048e-05,-3.577033760148788e-05,100.0,145.0,0.013682376593351364,978.8079833984375
0,752.6630727495944,-625.7519392299496,27.01995167028243,0.00040646528941579163,1.2275950798712127e-05,-9.741214360545928e-06,100.0,384.0,0.013691209256649017,978.808837890625
0,752.6630868290445,-625.7515759100356,27.02012760873147,-0.00012720304948743433,-2.9289050574754363e-05,-1.8258268948418078e-05,100.0,376.0,0.0137160150334239,978.8091430664062
0,752.6627368313681,-625.7512888044148,27.020611701431207,0.0004804103809874505,-3.873227810564173e-07,6.0102772950220954e-05,100.0,366.0,0.013692835345864296,978.8082885742188
0,752.6625872080377,-625.7505475955376,27.020661528459776,2.9497727155103348e-05,2.2793772416088576e-05,-3.230356379201628e-05,100.0,405.0,0.013670409098267555,978.8082275390625
0,752.6629160855941,-625.7496552118721,27.01820870092063,0.0017766111996024847,1.7851224508066935e-05,5.334840296594973e-06,100.0,406.0,0.013658253476023674,978.807373046875
0,752.6633812247605,-625.749235514059,27.021636636607887,0.0017706805374473333,-3.794871510839856e-05,-1.2216535765084319e-05,100.0,207.0,0.013701746240258217,978.8076782226562
0,752.6627994896568,-625.7493024011064,27.0226669115674,0.000514765502884984,-5.869521446670257e-05,2.4710944815488232e-05,100.0,195.0,0.013675594702363014,978.8071899414062
0,752.6623441321992,-625.7494138172013,27.02184402806715,-0.00018314196495339274,-2.8200016046328784e-05,2.3141986323867616e-05,100.0,203.0,0.013696540147066116,978.806884765625
0,752.6619306273828,-625.7493252606116,27.020081933867672,-0.0005887197912670672,4.208176681699244e-05,-4.125757182393711e-05,100.0,233.0,0.01370656955987215,978.8067016601562
0,752.6617871623977,-625.7489463487155,27.018291947515458,0.00029306099168024957,2.1624509980054637e-05,-5.474792459752982e-05,100.0,241.0,0.013705246150493622,978.8062133789062
0,752.6618354075089,-625.748264180089,27.022422666876658,-6.492385637102416e-06,7.280760149726462e-05,-3.56503560095999e-05,100.0,237.0,0.013705004006624222,978.8058471679688
0,752.6621608996179,-625.7483851009388,27.02398670359252,0.0002915360382758081,-5.6638639193769436e-05,-3.12180235002544e-05,100.0,241.0,0.01371780876070261,978.8059692382812
0,752.6626693870774,-625.7484635684118,27.027692115142578,0.0009884483879432082,2.3822800717295284e-05,5.0283235677574407e-05,100.0,249.0,0.013671002350747585,978.806396484375
0,752.6637929241593,-625.7485655570512,27.028066574232874,0.004248330835253,1.970098227004574e-05,2.223222372208844e-05,100.0,241.0,0.013679804280400276,978.8071899414062
0,752.664548987357,-625.7485838155159,27.02356402958064,0.00475619500502944,1.0856973207673785e-05,1.7954337697614384e-05,100.0,261.0,0.01370331086218357,978.8080444335938
0,752.6640405285243,-625.7485432357148,27.021552128530864,0.004981156904250383,-1.3755671535147956e-05,1.692900932728835e-05,100.0,271.0,0.013708635233342648,978.8077392578125
0,752.6633706847056,-625.7485840238553,27.02065693536216,0.004566289018839598,5.8912084034864565e-05,5.9571048174771046e-05,100.0,286.0,0.013717969879508018,978.8071899414062
0,752.6623839437141,-625.7492198040732,27.024516109914046,0.0035000680945813656,1.910088789045722e-05,1.0357758814083614e-05,100.0,294.0,0.013671339489519596,978.8068237304688
0,752.6621204656577,-625.7495393638103,27.023809560312834,0.0035528705921024084,4.72680173382267e-05,5.40025576553917e-05,100.0,283.0,0.013697894290089607,978.8067626953125
0,752.6627923129538,-625.7500356889409,27.01997617097132,0.0033946672920137644,2.0237098538815467e-05,-6.321351547577657e-06,100.0,292.0,0.013709086924791336,978.807373046875
0,752.6638283617666,-625.7507004689968,27.019416832795685,0.002678693039342761,-0.00010683556809987909,-2.5897455028034277e-06,100.0,308.0,0.013689986430108547,978.8085327148438
0,752.664805484152,-625.7509112669314,27.019857944355508,0.0023245650809258223,-1.2605017101322127e-05,6.066620572506047e-05,100.0,297.0,0.013702617026865482,978.8095092773438
0,752.6659945534258,-625.7517453826919,27.01896921215738,0.0018145181238651276,1.4818759118692417e-05,-2.9255136884312113e-05,100.0,306.0,0.013650166802108288,978.810791015625
0,752.6667945109715,-625.752424137055,27.021565996475914,0.0012994304997846484,6.459368923649312e-05,4.6844144882103196e-05,100.0,314.0,0.013710588216781616,978.8121948242188
0,752.6670794862673,-625.7527641625124,27.026561338065207,0.0011315735755488276,5.107513981851696e-06,5.164823887368876e-06,100.0,319.0,0.013718374073505402,978.8125
0,752.6669616108269,-625.7532454359609,27.025955300275427,0.0007233560900203884,1.6543028088263636e-05,3.4170961633506914e-05,100.0,310.0,0.013706197962164879,978.8130493164062
0,752.6667240993079,-625.7531666507062,27.02663275857794,0.0014689832460135221,7.992173696777597e-05,1.9128636532430915e-05,100.0,310.0,0.013709490187466145,978.8126220703125
0,752.6668263250724,-625.7530273953519,27.027532330053013,0.0013641760451719165,-1.0094802173865114e-05,6.418350590775614e-06,20.0,310.0,0.013708715327084064,978.8128051757812
0,752.6667066467952,-625.7525329507731,27.026311996296435,0.0017697523580864072,-3.386160716695931e-05,-2.6563960736084525e-05,20.0,310.0,0.013714044354856014,978.812255859375
0,752.6668754062016,-625.7519036971611,27.02583603724438,0.0019737370312213898,7.097020731945003e-06,1.6951186738674956e-05,20.0,310.0,0.013692835345864296,978.8120727539062
0,752.6671963455527,-625.7516909311453,27.027361065113027,0.0015156699810177088,-3.715204246349e-05,2.818225587915964e-06,20.0,310.0,0.013702052645385265,978.8119506835938
0,752.6672173808281,-625.7519809788296,27.025126759648693,0.001329603255726397,1.9903046849775692e-05,2.9421004263988927e-05,40.0,213.0,0.013722400180995464,978.8123168945312
0,752.6665664469402,-625.7522342646539,27.02347250953683,-0.00035714186378754675,2.3305307694388213e-05,8.194150517974762e-05,100.0,211.0,0.013694575056433678,978.81201171875
0,752.6649757261686,-625.7524989955849,27.021028994471877,-0.004017758183181286,-6.40521856660021e-05,-7.4573702798705e-05,100.0,246.0,0.013675868511199951,978.81103515625
0,752.6543434412343,-625.7577808907004,26.867565757104607,0.00927519891411066,0.00011575124546467778,0.00028934521245374306,100.0,236.0,0.013694752007722855,978.8059692382812
0,752.6560561122175,-625.7575733123962,26.88754020011106,0.0003814669034909457,0.0001504965667772785,-0.0001265605874602515,100.0,226.0,0.013699683360755444,978.80712890625
0,752.6571525951464,-625.7584324753549,26.889610171393052,0.0005589663633145392,-2.292761809303817e-05,0.00011948217504899443,100.0,267.0,0.013710378669202328,978.8086547851562
0,752.657499168043,-625.7579501262157,26.889086284631496,0.00043202866800129414,2.03099301244765e-05,7.323792473913134e-05,100.0,305.0,0.013650375418365002,978.8087158203125
0,752.6575542843112,-625.7555063455018,26.89336886670869,0.0011092891218140721,-1.7324359892030374e-05,-5.107625386297101e-05,100.0,294.0,0.013678213581442833,978.8071899414062
0,752.6570744304242,-625.7569595293719,26.889571279631575,0.0006721507525071502,1.9432290202758427e-05,-2.570593529054139e-05,100.0,283.0,0.013743976131081581,978.8075561523438
0,752.6565444197297,-625.7588576528956,26.88935513954133,-2.7347388822818175e-05,-1.6660850793655877e-06,-7.107657268120691e-05,100.0,299.0,0.014390591531991959,978.80859375
0,752.6564660127857,-625.7586601423286,26.891205888775858,-0.0011707405792549253,-2.7942164354717197e-06,-4.618628611997187e-05,100.0,289.0,0.013721833936870098,978.8082885742188
0,752.6561034070468,-625.7585797359907,26.893713221188634,-0.001578803057782352,4.799546258391247e-05,-0.00012109169215486371,100.0,327.0,0.014387489296495914,978.80810546875
0,752.656034746849,-625.7587600098681,26.897644359820063,-0.0012176074087619781,8.297619316989008e-05,-1.362783153940147e-05,100.0,333.0,0.013713301159441471,978.8080444335938
